Id,Name,Category,ParsingName,RelativePath,ParentFolder
a77f5d77-2e2b-44c3-a6a2-aba601054a51,Programs,,,Programs,625b53c3-ab48-4ec1-ba1f-a1ef4146fc19
dfdf76a2-c82a-4d63-906a-5644ac457385,Public,,,,
0482af6c-08f1-4c34-8c90-e17ec98b1e17,PublicAccountPictures,,,AccountPictures,dfdf76a2-c82a-4d63-906a-5644ac457385
debf2536-e1a8-4c59-b6a2-414586476aea,PublicGameTasks,,,Microsoft\Windows\GameExplorer,62ab5d82-fdc1-4dc3-a9dd-070d1d495d97
48daf80b-e6cf-4f4e-b800-0e69d84ee384,PublicLibraries,,,Libraries,dfdf76a2-c82a-4d63-906a-5644ac457385
52a4f021-7b75-48a9-9f6b-4b87a210bc8f,Quick Launch,,,Microsoft\Internet Explorer\Quick Launch,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
ae50c081-ebd2-438a-8655-8a092e34987a,Recent,,,Microsoft\Windows\Recent,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
2f8b40c2-83ed-48ee-b383-a1f157ec6f9a,Recorded Calls,,,Recorded Calls,5e6c858f-0e22-4760-9afe-ea3317b67173
1a6fdba2-f42d-4358-a798-b74d745926c5,RecordedTVLibrary,,,RecordedTV.library-ms,48daf80b-e6cf-4f4e-b800-0e69d84ee384
b7534046-3ecb-4c18-be4e-64cd4cb7d6ac,RecycleBinFolder,,::{645FF040-5081-101B-9F08-00AA002F954E},,
8ad10c31-2adb-4296-a8f7-e4701232c972,ResourceDir,,,,
12d4c69e-24ad-4923-be19-31321c43a767,Retail Demo,,,Microsoft\Windows\RetailDemo,62ab5d82-fdc1-4dc3-a9dd-070d1d495d97
c870044b-f49e-4126-a9c3-b52a1ff411e8,Ringtones,,,Microsoft\Windows\Ringtones,f1b32785-6fba-4fcf-9d55-7b8e7f157091
aaa8d5a5-f1d6-4259-baa8-78e7ef60835e,Roamed Tile Images,,,Microsoft\Windows\RoamedTileImages,f1b32785-6fba-4fcf-9d55-7b8e7f157091
00bcfc5a-ed94-4e48-96a1-3f6217f21990,Roaming Tiles,,,Microsoft\Windows\RoamingTiles,f1b32785-6fba-4fcf-9d55-7b8e7f157091
4c5c32ff-bb9d-43b0-b5b4-2d72e54eaaa4,SavedGames,,::{59031a47-3f72-44a7-89c5-5595fe6b30ee}\{4C5C32FF-BB9D-43b0-B5B4-2D72E54EAAA4},Saved Games,
3b193882-d3ad-4eab-965a-69829d1fb59f,SavedPictures,,,Saved Pictures,33e28130-4e1e-4676-835a-98395c3bc3bb
e25b5812-be88-4bd9-94b0-29233477b6c3,SavedPicturesLibrary,,::{031E4825-7B94-4dc3-B131-E946B44C8DD5}\{E25B5812-BE88-4bd9-94B0-29233477B6C3},SavedPictures.library-ms,1b3ea5dc-b587-4786-b4ef-bd1dc332aeae
b7bede81-df94-4682-a7d8-57a52620b86f,Screenshots,,,Screenshots,33e28130-4e1e-4676-835a-98395c3bc3bb
0d4c3db6-03a3-462f-a0e6-08924c41b5d4,SearchHistoryFolder,,,Microsoft\Windows\ConnectedSearch\History,f1b32785-6fba-4fcf-9d55-7b8e7f157091
190337d1-b8ca-4121-a639-6d472d16972a,SearchHomeFolder,,::{9343812e-1c37-4a49-a12e-4b2d810d956b},,
7e636bfe-dfa9-4d5e-b456-d7b39851d8a9,SearchTemplatesFolder,,,Microsoft\Windows\ConnectedSearch\Templates,f1b32785-6fba-4fcf-9d55-7b8e7f157091
7d1d3a04-debb-4115-95cf-2f29da2920da,Searches,,::{59031a47-3f72-44a7-89c5-5595fe6b30ee}\{7d1d3a04-debb-4115-95cf-2f29da2920da},Searches,
8983036c-27c0-404b-8f08-102d10dcfd74,SendTo,,,Microsoft\Windows\SendTo,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
625b53c3-ab48-4ec1-ba1f-a1ef4146fc19,Start Menu,,,Microsoft\Windows\Start Menu,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
b97d20bb-f46a-4c97-ba10-5e3608430854,Startup,,,StartUp,a77f5d77-2e2b-44c3-a6a2-aba601054a51
43668bf8-c14e-49b2-97c9-747784d784b7,SyncCenterFolder,,::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF},,
289a9a43-be44-4057-a41b-587a76d7e7f9,SyncResultsFolder,,"::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}\::{BC48B32F-5910-47F5-8570-5074A8A5636A},",,
0f214138-b1d3-4a90-bba9-27cbc0c5389a,SyncSetupFolder,,"::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}\::{F1390A9A-A3F4-4E5D-9C5F-98F3BD8D935C},",,
1ac14e77-02e7-4e5d-b744-2eb1ae5198b7,System,,,,
54eed2e0-e7ca-4fdb-9148-0f4247291cfa,SystemCertificates,,,,
d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27,SystemX86,,,,
a63293e8-664e-48db-a079-df759e0509f7,Templates,,,Microsoft\Windows\Templates,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
1c2ac1dc-4358-4b6c-9733-af21156576f0,ThisDeviceFolder,,::{f8278c54-a712-415b-b593-b77a2be0dda9},,
754ac886-df64-4cba-86b5-f7fbf4fbcef5,ThisPCDesktopFolder,,shell:::{B4BFCC3A-DB2C-424C-B029-7FE99A87C641},Desktop,
9e3995ab-1f9c-4f13-b827-48b24b6c7174,User Pinned,,,User Pinned,52a4f021-7b75-48a9-9f6b-4b87a210bc8f
0762d272-c50a-4bb0-a382-697dcd729b80,UserProfiles,,,,
5cd7aee2-2219-4a67-b85d-6c9ce15660cb,UserProgramFiles,,,Programs,f1b32785-6fba-4fcf-9d55-7b8e7f157091
bcbd3057-ca5c-4622-b42d-bc56db0ae516,UserProgramFilesCommon,,,Common,5cd7aee2-2219-4a67-b85d-6c9ce15660cb
f3ce0f7c-4901-4acc-8648-d5d44b04ef8f,UsersFilesFolder,,::{59031a47-3f72-44a7-89c5-5595fe6b30ee},,
a302545d-deff-464b-abe8-61c8648d939b,UsersLibrariesFolder,,::{031E4825-7B94-4dc3-B131-E946B44C8DD5},,
491e922f-5643-4af4-a7eb-4e7a138d8174,VideosLibrary,,::{031E4825-7B94-4dc3-B131-E946B44C8DD5}\{491E922F-5643-4af4-A7EB-4E7A138D8174},Videos.library-ms,1b3ea5dc-b587-4786-b4ef-bd1dc332aeae
f38bf404-1d43-42f2-9305-67de0b28fc23,Windows,,,,
