"element"               , "spaced"
"timeperd"              , "( current | timeinfo )+"
"metainfo"              , "( langmeta | metc | metd | metextns | metstdn | metstdv | mettc )+"
"item"                  , "( itemName, itemType?, objCount? )"
"objectClass"           , "( field+, subtype, index+ )"
"index"                 , "( field )"
"altsys"                , "( altenc | altres )+"
"itemLocation"          , "( linkage, protocol )"
"FieldInfos"            , "( SubtypeFieldInfo )+"
"field"                 , "( geometryDef )?"
"DatasetDefinitions"    , "( DataElement )+"
"geoBox"                , "( westBL, eastBL, northBL, southBL, exTypeCode )"
"status"                , "( progress, update )"
"procstep"              , "( procdesc, srcused, procdate, proctime )"
"horizsys"              , "( cordsysn | geodetic | planar )+"
"Subtypes"              , "( Subtype )+"
"dataqual"              , "( attracc?, lineage )"
"spdom"                 , "( bounding | lboundng )+"
"geodatabaseDesigner"   , "( metadata, objectClass )"
"RelationshipClassKey"  , "( ObjectKeyName, ClassKeyName, KeyRole )"
"theme"                 , "( themekt, themekey )"
"place"                 , "( placekey )"
"geoObjTyp"             , "( GeoObjTypCd )"
"enttyp"                , "( enttypl, enttypt, enttypc? )"
"nativeExtBox"          , "( westBL, eastBL, southBL, northBL, exTypeCode )"
"IndexArray"            , "( Index )*"
"RefSystem"             , "( refSysID )"
"distorFormat"          , "( formatName )"
"OriginClassNames"      , "( Name )"
"mdLang"                , "( languageCode, countryCode )"
"spdoinfo"              , "( direct?, ptvctinf )"
"CodedValues"           , "( CodedValue )*"
"DestinationClassNames" , "( Name )"
"itemProps"             , "( itemName | imsContentType | itemLocation | nativeExtBox | relatedItems )+"
"cntaddr"               , "( address | addrtype | city | postal | state )+"
"idCitation"            , "( resTitle, presForm )"
"XmlDoc"                , "( metadata )"
"spref"                 , "( horizsys, vertdef )"
"cntorgp"               , "( cntorg | cntper )+"
"Esri"                  , "( CreaDate, CreaTime, ( ArcGISFormat | ArcGISstyle | DataProperties | ModDate | ModTime | SyncDate | SyncOnce | SyncTime )+ )"
"relatedItems"          , "( item )+"
"Fields"                , "( FieldArray )"
"distorTran"            , "( onLineSrc )"
"vertdef"               , "( altsys )"
"Extent"                , "( XMin, YMin, XMax, YMax, ( ZMin, ZMax )?, SpatialReference )"
"ptvctinf"              , "( esriterm )+"
"mdHrLv"                , "( ScopeCd )"
"DataProperties"        , "( ( lineage | coordRef | itemProps )+, LayerFile? )"
"ptcontac"              , "( cntinfo )"
"DataElement"           , "( ( Metadata | Name | CatalogPath | Children | MetadataRetrieved )*, DatasetType, DSID, Versioned, CanVersion, ConfigurationKeyword, ( HasOID, OIDFieldName, Fields, Indexes, CLSID, EXTCLSID, RelationshipClassNames, AliasName, ModelName, HasGlobalID, GlobalIDFieldName, RasterFieldName, ExtensionProperties )?, ( SubtypeFieldName, DefaultSubtypeCode, Subtypes )?, ( ControllerMemberships, EditorTrackingEnabled, CreatorFieldName, CreatedAtFieldName, EditorFieldName, EditedAtFieldName, IsTimeInUTC )?, ( Cardinality, Notification, IsAttributed, IsComposite, OriginClassNames, DestinationClassNames, KeyType, ClassKey, ForwardPathLabel, BackwardPathLabel, IsReflexive, OriginClassKeys, RelationshipRules, IsAttachmentRelationship )?, ( FeatureType, ShapeType, ShapeFieldName, HasM, HasZ, HasSpatialIndex, AreaFieldName, LengthFieldName )?, ( Extent, SpatialReference )?, ChangeTracked )"
"subtype"               , "( ( stname, stcode, stfield+ ) | field+ )"
"ExtensionProperties"   , "( PropertyArray )"
"spatRpType"            , "( SpatRepTypCd )"
"attr"                  , "( attrlabl, ( atprecis | attalias | attrdef | attrdefs | attrdomv | attrtype | attscale | attwidth )+ )"
"WorkspaceDefinition"   , "( WorkspaceType, Version, Domains, DatasetDefinitions, Metadata )"
"sngdate"               , "( caldate )?"
"attrdomv"              , "( udom )"
"Indexes"               , "( IndexArray )"
"geometObjs"            , "( geoObjTyp, geoObjCnt )"
"cordsysn"              , "( geogcsn, projcsn )"
